Archivo,Idioma,Original,Comprimido,Factor,Bits/símbolo
es1.txt,ES,462,2334,5.0519480519480515,4.303097345132743
es10.txt,ES,265,2040,7.69811320754717,4.180076628352491
es2.txt,ES,348,2266,6.511494252873563,4.225146198830408
es3.txt,ES,296,2055,6.9425675675675675,4.215753424657536
es4.txt,ES,261,2091,8.011494252873563,4.2980392156862735
es5.txt,ES,307,2116,6.892508143322476,4.313531353135315
es6.txt,ES,305,2179,7.144262295081967,4.280000000000001
es7.txt,ES,270,2102,7.785185185185185,4.347169811320756
es8.txt,ES,298,2059,6.909395973154362,4.271186440677964
es9.txt,ES,300,1931,6.4366666666666665,4.197986577181209
fr1.txt,FR,341,2071,6.073313782991202,4.304347826086954
fr10.txt,FR,257,1783,6.937743190661479,4.151394422310755
fr2.txt,FR,313,2060,6.5814696485623,4.264900662251656
fr3.txt,FR,308,1993,6.470779220779221,4.258620689655173
fr4.txt,FR,242,1960,8.099173553719009,4.27391304347826
fr5.txt,FR,284,1984,6.985915492957746,4.253623188405798
fr6.txt,FR,268,1847,6.891791044776119,4.147859922178988
fr7.txt,FR,264,2156,8.166666666666666,4.315175097276264
fr8.txt,FR,284,1925,6.778169014084507,4.214545454545457
fr9.txt,FR,280,1854,6.621428571428571,4.228464419475656
en1.txt,EN,277,1857,6.703971119133574,4.335740072202167
en10.txt,EN,206,1756,8.524271844660195,4.20873786407767
en2.txt,EN,227,1893,8.33920704845815,4.2522123893805315
en3.txt,EN,266,1853,6.966165413533835,4.270676691729323
en4.txt,EN,191,1934,10.12565445026178,4.371727748691096
en5.txt,EN,227,1766,7.779735682819383,4.268722466960353
en6.txt,EN,237,1834,7.738396624472574,4.282700421940927
en7.txt,EN,219,1885,8.60730593607306,4.3561643835616435
en8.txt,EN,250,1780,7.12,4.272000000000001
en9.txt,EN,241,1958,8.12448132780083,4.2904564315352705
